X.1,X,ID,Duration_in_seconds,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,Q26_First_Click,Q26_Last_Click,Q26_Page_Submit,Q26_Click_Count,Briefing_Message,Course_Code,Course_Ratings_Learning_Community,Course_Ratings_Findings,Course_Ratings_Resources,Course_Ratings_Relevant_Assessment,Course_Ratings_Quality,Best_Course_Features,Course_Improvements,Instructor_Ratings_Participation,Instructor_Ratings_Feedback,Instructor_Ratings_Overall,BF,IM,Student_Gender.Female.,Student_Gender.Male,Student_Gender.Unknown,Student_Gender.NA,International,Year,WAM,Ethnicity.Asian,Ethnicity.Hispanic,Ethnicity.Indigenous,Ethnicity.Other,Ethnicity.Pacific,Ethnicity.Persian,Ethnicity.Unanswered,Ethnicity.White,Group,Staff_ID,SF_Gender.Female,SF_Gender.Male.,SF_Gender.NA,SF_Ethnicity.Asian,SF_Ethnicity.White,SF_Ethnicity.NA,SF_Birthplace_Australia,SF_Parent_Birthplace_Australia,SF_Language_English.Primary,SF_Language_English.Secondary,SF_Language_English.NA,SF_Course_Experience,SF_Teaching_Experience,Message_Time,No_WAM,RE
11,13,13,-0.117066872,1,42:00.0,R_1E1k1WntjRQ7u1r,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,PHYS1121,-0.842232109,-0.135757368,-0.66564486,-0.793871778,-0.760372276,"There are lots of opportunities provided to make sure students are well prepared for quizzes and tests. This includes practice tests, being able to attempt weekly quizzes multiple times, lots of sets of questions and answers provided. ","I have felt that most of my learning is being done by first being given questions, getting them wrong and then being told why I got them wrong. I would prefer to first be taken/shown through example questions, and then being given questions to do myself afterwards. ",0.96817595,0.021035026,6,"Being positive and encouraging students. Alerting students to when they are falling behind without telling them off, just encouraging them to keep up. Provides clear details of what needs to be done each week and by when. ",NA,0,1,0,0,0,1,0.030964095,0,0,0,0,0,0,0,1,0,STAFF_022,1,0,0,0,1,0,Yes,Yes - Both,1,0,0,-0.769624563,-1.224859581,0,0,STAFF_022 PHYS1121
12,14,14,-0.15816411,1,24:00.0,R_1Eb8VT4jJxvpKo0,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,MATH1241,0.720237486,-0.135757368,0.211440132,-1.691768134,-0.760372276,The tutorials,Online tutorials are very lengthy and not always super relevant- I feel like I spend more time getting through these than being able to go through the relevant content and questions in the textbook (which would be more beneficial),0.96817595,0.021035026,6,Engaging and interesting ,,1,0,0,0,0,1,0.371569135,0,0,0,0,0,0,0,1,0,STAFF_01,0,1,0,0,1,0,No,No,0,1,0,-0.969043923,0.595291717,-0.345727664,0,STAFF_01 MATH1241
13,15,15,-0.15816411,1,24:00.0,R_1Eb8VT4jJxvpKo0,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,MATH1241,0.720237486,-0.135757368,0.211440132,-1.691768134,-0.760372276,The tutorials,Online tutorials are very lengthy and not always super relevant- I feel like I spend more time getting through these than being able to go through the relevant content and questions in the textbook (which would be more beneficial),0.96817595,0.021035026,5,Very friendly and nice,Being a little less boring(sorry!),1,0,0,0,0,1,0.371569135,0,0,0,0,0,0,0,1,0,STAFF_08,0,1,0,0,1,0,No,No,1,0,0,-0.570205203,2.319645578,-0.345727664,0,STAFF_08 MATH1241
14,16,16,-0.171309183,1,44:00.0,R_1EcXU25VIBh0qF6,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,PSYC1023,-0.060997312,-2.918783413,1.088525125,1.001920934,1.038818462,The resources are easy to understand and the Moodle page is easy to navigate and use. ,,0.081729139,NA,6,She does a very good job at describing concepts that are complicated and is very respectful towards everyone. ,,1,0,0,0,0,2,0.243842245,1,0,0,0,0,0,0,0,0,STAFF_027,1,0,0,0,1,0,Yes,Yes - Both,1,0,0,-0.171366484,-0.266885214,-0.345727664,0,STAFF_027 PSYC1023
15,17,17,-0.127190089,1,24:00.0,R_1eKNWKO64LgO4ny,anonymous,EN,"""I agree, start questionnaire""",1.616000056,9.878000259,11.09000015,7,I have read the above statement,BIOC2101,0.720237486,0.559999143,1.088525125,0.104024578,1.038818462,"""The course convenor is amazing, well organised and genuinely interested in helping students to learn.""",Probably a more diversified understanding of how learning has individual differences between students that should not be ignored.,0.081729139,0.021035026,6,Very thoughtful of student position,Diversification of student learning patterns might be relevant ,0,1,0,0,0,2,0.541871656,0,0,0,0,0,0,0,1,1,STAFF_029,1,0,0,1,0,0,No,No,0,1,0,-0.570205203,-0.841669834,0.853997748,0,STAFF_029 BIOC2101
16,18,18,-0.127190089,1,24:00.0,R_1eKNWKO64LgO4ny,anonymous,EN,"""I agree, start questionnaire""",1.616000056,9.878000259,11.09000015,7,I have read the above statement,BIOC2101,0.720237486,0.559999143,1.088525125,0.104024578,1.038818462,"""The course convenor is amazing, well organised and genuinely interested in helping students to learn.""",Probably a more diversified understanding of how learning has individual differences between students that should not be ignored.,0.081729139,0.950082003,6,The careful attention to detail,More precisely indicating how the content specially answers and cross intergreates into the learning outcomes and by extension exam questions.,0,1,0,0,0,2,0.541871656,0,0,0,0,0,0,0,1,1,STAFF_04,1,0,0,0,1,0,Yes,Yes - One,1,0,0,1.224569035,0.116304533,0.853997748,0,STAFF_04 BIOC2101
17,19,19,-0.146832151,1,16:00.0,R_1eP4gaAhuQzIORE,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,MATH1241,1.501472284,0.559999143,1.088525125,1.001920934,1.038818462,"""The ability to explore first-year maths at a high level is really engaging, and in tutorials having the most difficult questions explained is very entertaining and engaging. """,,-0.804717673,-0.908011951,5,"""His lecture content is really interesting, and it is really interesting when he explains the courses in future years that explain in further depth part of our course work.""","""Potentially more organisation, as some lecture slides have been missing, as well as parts being glossed over, which can be challenging to deal with as a student.""",0,1,0,0,0,1,-0.011611535,0,0,0,0,0,0,0,1,0,STAFF_01,0,1,0,0,1,0,No,No,0,1,0,-0.969043923,0.595291717,-0.345727664,0,STAFF_01 MATH1241
18,20,20,-0.146832151,1,16:00.0,R_1eP4gaAhuQzIORE,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,MATH1241,1.501472284,0.559999143,1.088525125,1.001920934,1.038818462,"""The ability to explore first-year maths at a high level is really engaging, and in tutorials having the most difficult questions explained is very entertaining and engaging. """,,0.96817595,0.950082003,6,"""David is a lovely lecturer that encourages discussion between students, and covers his subject with an engaging personality that makes it really fun to be a part of.""","""Nope, he's too amazing""",0,1,0,0,0,1,-0.011611535,0,0,0,0,0,0,0,1,0,STAFF_08,0,1,0,0,1,0,No,No,1,0,0,-0.570205203,2.319645578,-0.345727664,0,STAFF_08 MATH1241
19,21,21,-0.132025058,1,51:00.0,R_1etRfWXqCj2xpw0,anonymous,EN,"""I agree, start questionnaire""",229.0480042,229.0480042,230.6309967,1,I have read the above statement,BIOC2101,-0.060997312,0.559999143,-0.66564486,0.104024578,0.139223093,"""Really proactive and obliging course convenor, great lecturers and clear learning expectations. """,,0.96817595,0.950082003,6,Anne is very engaging and obviously passionate about the course material. ,,1,0,0,0,0,2,-2.991905641,0,0,0,0,0,0,0,1,1,STAFF_029,1,0,0,1,0,0,No,No,0,1,0,-0.570205203,-0.841669834,-0.345727664,0,STAFF_029 BIOC2101
20,23,23,-0.164207822,1,22:00.0,R_1f6H0DFlGWyUoYu,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,MATH1131,-0.842232109,0.559999143,1.088525125,0.104024578,0.139223093,"Maple TA is very helpful in having my understanding. Also the drop in sessions are great, especially being online- even when we go back to uni I hope these sessions are still offered online. ","tutorials recordings are not up on Moodle as said they would be, these should be made available . ",-0.804717673,0.950082003,6,NA,NA,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,STAFF_020,0,1,0,0,1,0,Yes,No,1,0,0,-0.570205203,-0.458480087,0,1,STAFF_020 MATH1131
21,24,24,-0.164207822,1,22:00.0,R_1f6H0DFlGWyUoYu,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,MATH1131,-0.842232109,0.559999143,1.088525125,0.104024578,0.139223093,"Maple TA is very helpful in having my understanding. Also the drop in sessions are great, especially being online- even when we go back to uni I hope these sessions are still offered online. ","tutorials recordings are not up on Moodle as said they would be, these should be made available . ",0.081729139,0.021035026,5,NA,NA,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,STAFF_032,0,1,0,0,1,0,Yes,Yes - Both,1,0,0,-0.370785843,-1.033264707,0,1,STAFF_032 MATH1131
22,26,26,-0.158013017,1,40:00.0,R_1FtyEUGizjVXQfR,anonymous,EN,"""I agree, start questionnaire""",5.22300005,5.22300005,10.11200047,1,I have read the above statement,CLIM1001,1.501472284,1.255755655,1.088525125,1.001920934,1.038818462,It is very nicely structured and the resources are very easy to access. The course convener is very passionate and knowledgeable on the subject. There is a very open and respectful environment among the students and teachers. ,,0.96817595,0.950082003,6,He is very passionate and knowledgeable. He also wants the best for his students and is always looking to make the course better. He is very open to ideas and respectful. ,,1,0,0,0,0,2,0.243842245,1,0,0,0,0,0,0,0,1,STAFF_014,0,1,0,0,1,0,No,No,1,0,0,0.626310956,-0.36268265,-0.345727664,0,STAFF_014 CLIM1001
23,27,27,-0.177503987,1,25:00.0,R_1g8uc88o0rLBZi3,anonymous,ZH-S,"I agree, start questionnaire",1.688,1.688,6.054,1,I have read the above statement,MATH1131,-0.842232109,-0.831513879,-0.66564486,0.104024578,0.139223093,NA,NA,0.081729139,-0.908011951,5,NA,NA,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,STAFF_020,0,1,0,0,1,0,Yes,No,1,0,0,-0.570205203,-0.458480087,-0.345727664,1,STAFF_020 MATH1131
24,28,28,-0.177503987,1,25:00.0,R_1g8uc88o0rLBZi3,anonymous,ZH-S,"I agree, start questionnaire",1.688,1.688,6.054,1,I have read the above statement,MATH1131,-0.842232109,-0.831513879,-0.66564486,0.104024578,0.139223093,NA,NA,0.081729139,-0.908011951,5,NA,NA,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,STAFF_032,0,1,0,0,1,0,Yes,Yes - Both,1,0,0,-0.370785843,-1.033264707,-0.345727664,1,STAFF_032 MATH1131
25,29,29,-0.13867314,1,10:00.0,R_1gHhDgYBR9wFpzy,anonymous,EN,"I agree, start questionnaire",0.807,4.418,5.856,6,I have read the above statement,MATH1081,0.720237486,-0.831513879,1.088525125,1.001920934,-0.760372276,The lecturer makes understanding the content very easy by giving simple everyday examples. The excersises are also good and help in having a stronger understanding of the content. ,"If the excersises have worked soloutions. Even though the excersises are done in tutorials, sometimes I would be make a simple mistake but can't see it. So instead of waiting for a tutorial I prefer to have worked out soloutions. Also they can be helpful in learning ways to set out our working out. ",0.081729139,0.021035026,5,Makes hard concepts in understanding easier. Plus slows down and anwsers relive t questions to the task. ,NA,0,1,0,0,0,1,0.627022916,1,0,0,0,0,0,0,0,1,STAFF_08,0,1,0,0,1,0,No,No,1,0,0,1.224569035,2.319645578,0.178625804,0,STAFF_08 MATH1081
26,30,30,-0.168287327,1,39:00.0,R_1IbiwoKoGq8jltJ,anonymous,EN,"I agree, start questionnaire",0.856,7.196,13.358,4,I have read the above statement,PSYC1024,-0.060997312,0.559999143,1.088525125,-0.793871778,0.139223093,Interesting content and lecturer ,NA,-1.691164484,-1.837058927,4,NA,NA,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,STAFF_02,1,0,0,0,1,0,Yes,Yes - Both,1,0,0,-1.168463283,-1.129062144,0.574904014,1,STAFF_02 PSYC1024
27,31,31,-0.168287327,1,39:00.0,R_1IbiwoKoGq8jltJ,anonymous,EN,"I agree, start questionnaire",0.856,7.196,13.358,4,I have read the above statement,PSYC1024,-0.060997312,0.559999143,1.088525125,-0.793871778,0.139223093,Interesting content and lecturer ,NA,-0.804717673,0.021035026,6,Very engaging!,NA,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,STAFF_027,1,0,0,0,1,0,Yes,Yes - Both,1,0,0,0.227472236,-0.266885214,0.574904014,1,STAFF_027 PSYC1024
28,32,32,-0.169949348,1,22:00.0,R_1INwzC6IO24fq2u,anonymous,EN,"I agree, start questionnaire",1.619,1.619,7.408,1,I have read the above statement,PSYC1029,-0.060997312,-0.135757368,-0.66564486,-0.793871778,-0.760372276,"It is very well-structured. The Moodle site is well-organised, it is very clear each week what our tasks are, and the lecturers are very responsive to discussion posts.",N/A,-0.804717673,-0.908011951,4,"Kathryn is kind, patient and very willing to answer any and all questions students ask, even when a lot of them have been answered previously.",N/A,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,STAFF_025,1,0,0,0,1,0,Yes,Yes - Both,1,0,0,-0.769624563,-0.171087777,-0.345727664,1,STAFF_025 PSYC1029
29,33,33,-0.169949348,1,22:00.0,R_1INwzC6IO24fq2u,anonymous,EN,"I agree, start questionnaire",1.619,1.619,7.408,1,I have read the above statement,PSYC1029,-0.060997312,-0.135757368,-0.66564486,-0.793871778,-0.760372276,"It is very well-structured. The Moodle site is well-organised, it is very clear each week what our tasks are, and the lecturers are very responsive to discussion posts.",N/A,NA,NA,4,Rick is an enthusiastic lecturer who made the course content interesting and relevant. ,N/A,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,STAFF_030,0,1,0,0,1,0,No,No,1,0,0,-0.769624563,1.170076337,-0.345727664,1,STAFF_030 PSYC1029
30,34,34,-0.10936114,1,07:00.0,R_1JEn5sFGvMy05ip,anonymous,EN,"I agree, start questionnaire",3.261,3.261,6.543,1,I have read the above statement,MATH1131,0.720237486,0.559999143,1.088525125,NA,1.038818462,The lecturers are very engaging! I really enjoyed this course.,"I don't find the classroom tutorials very helpful. I find the lectures and online tutorials are enough. Perhaps if they were in person, I'd be more engaged but I understand that the circumstances do not permit this. ",0.96817595,0.950082003,6,Very engaging! Very structured lectures!,NA,1,0,0,0,0,1,-0.011611535,1,0,0,0,0,0,0,0,1,STAFF_020,0,1,0,0,1,0,Yes,No,1,0,0,-0.570205203,-0.458480087,-0.345727664,0,STAFF_020 MATH1131
31,35,35,-0.10936114,1,07:00.0,R_1JEn5sFGvMy05ip,anonymous,EN,"I agree, start questionnaire",3.261,3.261,6.543,1,I have read the above statement,MATH1131,0.720237486,0.559999143,1.088525125,NA,1.038818462,The lecturers are very engaging! I really enjoyed this course.,"I don't find the classroom tutorials very helpful. I find the lectures and online tutorials are enough. Perhaps if they were in person, I'd be more engaged but I understand that the circumstances do not permit this. ",0.96817595,0.950082003,6,Very engaging and structured lectures,NA,1,0,0,0,0,1,-0.011611535,1,0,0,0,0,0,0,0,1,STAFF_032,0,1,0,0,1,0,Yes,Yes - Both,1,0,0,-0.370785843,-1.033264707,-0.345727664,0,STAFF_032 MATH1131
32,37,37,-0.082466623,1,17:00.0,R_1mJ0rZIyxFCKjmE,anonymous,EN,"I agree, start questionnaire",7.221,7.221,24.497,1,I have read the above statement,PSYC1001,-0.060997312,-0.135757368,-0.66564486,-1.691768134,1.038818462,I love the practical applications and understanding why we subconsciously make judgements etc. without conscious reasoning. It's made me question a lot more and try and reverse judgements I may have made about people ,Maybe the 45% assessment could be a smaller percentage and either break it up into smaller components (2 parts) or add assessable quizzes? ,0.081729139,-0.908011951,6,NA,NA,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,STAFF_018,1,0,0,0,1,0,No,No,1,0,0,0.825730316,-0.266885214,-0.345727664,1,STAFF_018 PSYC1001
33,39,39,-0.15544444,1,17:00.0,R_1n24NfgC7KZFDc6,anonymous,EN,"I agree, start questionnaire",11.283,11.283,32.785,1,I have read the above statement,PSYC1001,-0.060997312,-0.135757368,-1.542729853,-1.691768134,-0.760372276,NA,NA,-0.804717673,NA,4,NA,NA,1,0,0,0,0,1,0.584447286,1,0,0,0,0,0,0,0,1,STAFF_018,1,0,0,0,1,0,No,No,1,0,0,0.825730316,-0.266885214,-0.345727664,0,STAFF_018 PSYC1001
34,40,40,-0.086848314,1,41:00.0,R_1oaQcoSiHljn5Uc,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,CLIM1001,0.720237486,0.559999143,0.211440132,0.104024578,0.139223093,"""The topic generally, and the flexible schedule""",Providing instructions on how to change Moodle message settings so I don't receive so many emails. ,0.081729139,0.021035026,5,He seems to interact with student conversation in the Weekley discussion threads.,Changing the peer review scoring so people can be anonymous. I think that would allow students to provide honest feedback if they had a lazy group member...,1,0,0,0,0,3,-0.096762796,0,0,0,0,0,0,0,1,0,STAFF_014,0,1,0,0,1,0,No,No,1,0,0,0.626310956,-0.36268265,-0.345727664,0,STAFF_014 CLIM1001
35,42,42,0.217452562,1,59:00.0,R_1OK5Y2OnbbYtoKV,anonymous,ZH-T,"I agree, start questionnaire",3.033,48.736,50.643,5,I have read the above statement,PSYC1001,0.720237486,1.255755655,1.088525125,1.001920934,1.038818462,"It provided so many resources in addition to the lectures. As a student who had never study psychology before, this really help me a lot. The lectures themselves are interesting as well!",NA,0.96817595,0.950082003,6,She describes every concepts clearly and gives practical examples which make it easier for students to understand the contents.,NA,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,STAFF_018,1,0,0,0,1,0,No,No,1,0,0,0.825730316,-0.266885214,6.290806968,1,STAFF_018 PSYC1001
36,43,43,-0.161488151,1,48:00.0,R_1OP32JiLh8o0xT8,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,MATH2801,-0.060997312,-0.135757368,-0.66564486,-0.793871778,0.139223093,Lectures,hard to know just yet. ,-0.804717673,-0.908011951,5,"""Clarity, good pace and examples""",,0,1,0,0,0,3,-0.522519096,0,0,0,0,0,0,0,1,0,STAFF_017,0,1,0,0,1,0,No,No,1,0,0,-0.969043923,-0.937467271,-0.345727664,0,STAFF_017 MATH2801
37,44,44,-0.167078585,1,25:00.0,R_1oqb5D4EVug0LQW,anonymous,ZH-S,"""I agree, start questionnaire""",0,0,0,0,,MATH2801,-0.060997312,-0.831513879,-0.66564486,0.104024578,0.139223093,,,0.081729139,0.021035026,6,,,1,0,0,0,1,3,0.371569135,1,0,0,0,0,0,0,0,0,STAFF_017,0,1,0,0,1,0,No,No,1,0,0,-0.969043923,-0.937467271,-0.345727664,0,STAFF_017 MATH2801
38,45,45,0.342104112,1,26:00.0,R_1OQcLULa60xJqiO,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,MATH1081,0.720237486,1.255755655,1.088525125,1.001920934,1.038818462,"The large range of difficulty in problems in the problem sets that cater to all types of students. 
Dr. David Angell's willingness to go talk about topics that may be 'outside of the course' after lectures for students that are interested - helping develop interest in what we're learning about.",NA,0.96817595,0.950082003,6,"Their explanations are very easy to understand, and yet do not sacrifice rigour. ",NA,0,1,0,0,0,1,1.010203587,0,0,0,0,0,0,0,1,0,STAFF_08,0,1,0,0,1,0,No,No,1,0,0,1.224569035,2.319645578,0,0,STAFF_08 MATH1081
39,46,46,-0.182641142,1,04:00.0,R_1psa52E5WGNpK5o,anonymous,EN,"I agree, start questionnaire",3.647,3.647,5.865,1,I have read the above statement,PHYS1121,-2.404701705,-1.527270391,-2.419814846,-2.58966449,-3.459158383,NA,NA,-0.804717673,-2.766105904,3,NA,NA,0,1,0,0,0,1,-2.14039304,1,0,0,0,0,0,0,0,1,STAFF_022,1,0,0,0,1,0,Yes,Yes - Both,1,0,0,-0.769624563,-1.224859581,-0.345727664,0,STAFF_022 PHYS1121
40,47,47,-0.160732688,1,41:00.0,R_1ptzBvLAFpqbSAT,anonymous,EN,"I agree, start questionnaire",27.84,27.84,28.721,1,I have read the above statement,PHYS1131,-0.842232109,-0.831513879,-1.542729853,NA,-1.659967645,Flexibility and lab exercises,Live lectures with student-lecturer interaction,-0.804717673,-2.766105904,4,NA,NA,0,1,0,0,0,1,0.414144765,0,0,0,0,0,1,0,0,1,STAFF_022,1,0,0,0,1,0,Yes,Yes - Both,1,0,0,-0.769624563,-1.224859581,-0.345727664,0,STAFF_022 PHYS1131
41,48,48,-0.13429145,1,23:00.0,R_1q8knR8zkdJruyL,anonymous,EN,"""I agree, start questionnaire""",75.00700378,75.00700378,76.28399658,1,I have read the above statement,BIOC2101,1.501472284,-0.135757368,0.211440132,0.104024578,0.139223093,The helpfulness of the course convenor and tutor,,0.081729139,0.950082003,5,,,1,0,0,0,1,2,0.414144765,1,0,0,0,0,0,0,0,1,STAFF_029,1,0,0,1,0,0,No,No,0,1,0,-0.570205203,-0.841669834,-0.345727664,0,STAFF_029 BIOC2101
